t,output
0.001,0.0000000041604173
0.002,0.000000033233498
0.003,0.000000111995014
0.004,0.000000265072
0.005,0.0000005169433
0.006,0.0000008919404
0.007,0.0000014142477
0.008,0.0000021079034
0.009,0.0000029968
0.01,0.0000041046846
0.011,0.0000054551606
0.012,0.0000070716865
0.013,0.000008977579
0.014,0.000011196009
0.015,0.000013750009
0.016,0.000016662469
0.017,0.000019956136
0.018,0.000023653618
0.019,0.000027777383
0.02,0.000032349762
0.021,0.000037392943
0.022,0.000042928983
0.023,0.000048979793
0.024,0.00005556715
0.025,0.0000627127
0.026,0.00007043795
0.027,0.000078764264
0.028,0.00008771288
0.029,0.000097304895
0.03,0.00010756129
0.031,0.000118502896
0.032,0.00013015041
0.033,0.00014252441
0.034,0.00015564534
0.035,0.00016953348
0.036,0.00018420904
0.037,0.00019969206
0.038,0.00021600246
0.039,0.00023316003
0.04,0.00025118442
0.041,0.0002700952
0.042,0.00028991172
0.043,0.0003106533
0.044,0.00033233908
0.045,0.00035498812
0.046,0.0003786193
0.047,0.00040325138
0.048,0.00042890306
0.049,0.00045559285
0.05,0.00048333916
0.051,0.00051216024
0.052,0.0005420743
0.053,0.0005730994
0.054,0.00060525344
0.055,0.0006385542
0.056,0.0006730194
0.057,0.0007086665
0.058,0.00074551307
0.059,0.0007835764
0.06,0.00082287367
0.061,0.000863422
0.062,0.0009052383
0.063,0.0009483395
0.064,0.0009927424
0.065,0.0010384633
0.066,0.0010855191
0.067,0.001133926
0.068,0.0011837003
0.069,0.0012348582
0.07,0.0012874156
0.071,0.0013413887
0.072,0.001396793
0.073,0.0014536446
0.074,0.0015119588
0.075,0.0015717512
0.076,0.0016330371
0.077,0.0016958319
0.078,0.0017601507
0.079,0.0018260085
0.08,0.0018934204
0.081,0.001962401
0.082,0.0020329652
0.083,0.0021051276
0.084,0.0021789025
0.085,0.0022543047
0.086,0.0023313481
0.087,0.0024100472
0.088,0.002490416
0.089,0.0025724682
0.09,0.0026562181
0.091,0.0027416793
0.092,0.0028288653
0.093,0.0029177899
0.094,0.0030084664
0.095,0.0031009084
0.096,0.0031951289
0.097,0.0032911412
0.098,0.0033889583
0.099,0.003488593
0.1,0.0035900585
0.101,0.0036933674
0.102,0.0037985323
0.103,0.0039055657
0.104,0.0040144804
0.105,0.004125288
0.106,0.0042380015
0.107,0.004352633
0.108,0.004469194
0.109,0.004587697
0.11,0.0047081537
0.111,0.004830576
0.112,0.0049549756
0.113,0.0050813635
0.114,0.005209752
0.115,0.005340152
0.116,0.005472575
0.117,0.0056070318
0.118,0.0057435343
0.119,0.0058820928
0.12,0.0060227187
0.121,0.0061654225
0.122,0.006310215
